taz,airport_productions,lng,lat,Type,HH,HH_POP,Median_Inc,Pct_Worker,Pct_Child,Pct_Senior,Stud_GQ,Other_NonInst_GQ,Inst_GQ,Total_POP,Industry,Office,Service_RateLow,Service_RateHigh,Retail,PctHighEarn,StudGQ_NCSU,StudGQ_UNC,StudGQ_DUKE,StudGQ_NCCU,StudOff_NCSU,StudOff_UNC,StudOff_DUKE,StudOff_NCCU,BuildingS_NCSU,BuildingS_UNC,BuildingS_DUKE,BuildingS_NCCU,K12,CollegeOn,CollegeOff,TraumaLevel,ParkDistrict,ParkCostW,ParkCostO,ParkCostU,ADT,PCTCV,PCTAUTOEE,PCTCVEE,RDU_ENPLANE,hotel_rooms,dist_to_airport_miles,employment,workers,high_earners,high_earn_distance,observed_productions,estimated_productions
2,0,-79.16745555844535,35.814056204867114,Internal,391,954,76534,48,18.3,11.3,0,0,0,954,8,119,10,0,0,45,0,0,0,0,0,19,0,0,0,0,0,0,640,0,0,0,0,0,0,0,0,0,0,0,0,0,32.70483,137,457.91999999999996,206.064,6739.28808912,0,0.2086128680595256
17,3,-79.07438104342549,35.82577147769806,Internal,104,246,79000,40,11,39.7,0,0,0,246,1,13,76,4,89,11,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.685085,183,98.4,10.824,299.66336004,3.225352112676056,7.789451360501493
19,0,-79.07183871660615,35.847986828105945,Internal,410,996,100714,40,21.7,26.9,0,0,0,996,288,67,163,45,367,20,0,0,0,0,0,106,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,30.271782,930,398.40000000000003,79.68,2412.05558976,0,16.060397077089718
32,11,-78.98794283384133,35.72342820040376,Internal,84,199,100221,43,16.6,16.4,0,0,0,199,156,3,59,2,33,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.170349,253,85.57,36.7951,778.9651084899,11.826291079812206,9.704501814185388
33,76,-78.93928209614067,35.83622746969059,Internal,1694,3549,82833,33,13.9,42.3,0,0,0,3549,7,24,70,10,7,36,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.302312,118,1171.17,421.6212,5186.9155482144,81.70892018779342,36.15971956264777
34,4,-78.96345208098654,35.85228544553287,Internal,161,445,82833,33,13.9,42.3,0,0,0,445,28,21,9,0,6,41,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.045568,64,146.85,60.208499999999994,1026.2880809279998,4.300469483568075,9.017860999167505
35,9,-78.92305778623368,35.85736766459666,Internal,111,266,82833,33,13.9,42.3,0,0,0,266,0,32,8,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.15767,40,87.78,34.2342,416.208106314,9.676056338028168,8.376318195647803
36,26,-78.94531969065444,35.80097256360916,Internal,278,681,82833,33,13.9,42.3,0,4,0,685,5,37,11,1,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.661383,54,224.73000000000002,74.16090000000001,1309.7840585247002,27.953051643192488,9.282408138191515
37,4,-78.95160435531282,35.76392653792819,Internal,90,208,100221,43,16.6,16.4,0,0,0,208,31,17,13,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.791929,61,89.44,44.72,750.9350648799999,4.300469483568075,8.337397082318578
38,3,-78.99181803943917,35.76678150628602,Internal,157,374,100221,43,16.6,16.4,0,0,0,374,74,24,32,0,14,35,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,19.557652,144,160.82,56.28699999999999,1100.841558124,3.225352112676056,9.187417650951387
39,11,-78.98068591999476,35.743970051643124,Internal,123,273,100221,43,16.6,16.4,0,0,0,273,17,17,38,4,35,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.804768,111,117.39,59.868900000000004,1245.5585749152,11.826291079812206,8.486431690550392
40,2,-78.9828994664952,35.79372021840954,Internal,175,437,82833,33,13.9,42.3,0,0,0,437,13,32,29,0,8,39,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.407518,82,144.21,56.24190000000001,1091.5156866042,2.1502347417840375,8.40501209416246
46,3,-79.03825857644244,35.62917651135808,Internal,78,160,66667,43,28,25.3,0,0,0,160,304,4,5,0,2,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.017662,315,68.8,32.336,1002.987118432,3.225352112676056,8.806750535245165
49,0,-79.02734048370579,35.59882618003797,Internal,73,178,66667,43,28,25.3,0,0,0,178,505,13,8,2,2,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.379637,530,76.53999999999999,58.93579999999999,1790.4482103045998,0,11.16922294696688
50,0,-79.00858228674076,35.670445595875954,Internal,174,465,66667,43,28,25.3,0,0,0,465,47,29,24,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.290701,100,199.95,49.9875,1364.1939162375,0,6.440085105075676
51,0,-78.98631523370263,35.55008089947895,Internal,42,99,66667,43,28,25.3,0,0,0,99,5,5,2,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.922527,12,42.57,21.285,743.325987195,0,4.644264139052427
53,8,-79.06771385917699,35.61675047312932,Internal,147,323,50238,43,17.7,16.5,0,0,0,323,22,36,21,12,9,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.881615,100,138.89,51.38929999999999,1689.7631777194995,8.60093896713615,4.97441782673048
55,0,-79.07480688061523,35.63842122613282,Internal,120,316,50238,43,17.7,16.5,0,0,0,316,25,56,6,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,290,0,0,0,0,0,0,0,0,0,0,0,0,0,33.380451,87,135.88,67.94,2267.86784094,0,4.047630790916511
65,3,-79.1666702045343,35.73334341027196,Internal,445,1037,52083,45,19.3,16.9,0,0,0,1037,53,41,193,31,416,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.666069,734,466.65000000000003,88.66350000000001,2807.6245087815005,3.225352112676056,12.632563119874394
81,49,-78.83840055914955,35.87160937700552,Internal,0,0,77485,72,9.3,3.6,0,0,0,0,195,427,49,10,8,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.158463,689,0,0,0,52.68075117370892,14.60799932112619
82,21,-78.85406560000698,35.86940652695624,Internal,394,915,77485,72,9.3,3.6,0,0,0,915,55,39,14,0,0,69,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.263542,108,658.8,454.57199999999995,4210.946814023999,22.577464788732392,45.30452615154451
83,342,-78.8447640423045,35.88260827039738,Internal,0,0,77485,72,9.3,3.6,0,0,0,0,0,236,327,180,28,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.813744,771,0,0,0,215.02347417840375,15.697460822037675
84,54,-78.85192369303213,35.87956943639691,Internal,292,533,77485,72,9.3,3.6,0,6,0,539,17,17,57,79,66,74,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.231887,236,383.76,283.9824,1769.7462267888,58.056338028169016,36.95178139053603
85,3,-78.85860433835938,35.8919228069504,Internal,0,0,58190,50,22,12,0,0,0,0,37,225,0,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.956543,262,0,0,0,3.225352112676056,8.934827846867607
86,10,-78.94515834961189,36.00932617499954,Internal,657,1114,32196,43,2.5,2.5,0,0,0,1114,16,16,302,0,310,15,0,0,0,0,0,19,983,0,0,0,0,0,0,0,0,0,4,267,200,74,0,0,0,0,0,0,17.967045,644,479.02,71.853,1290.986084385,10.751173708920188,16.91309450911031
111,0,-78.89457280623637,36.013303137770656,Internal,162,364,72031,54,18.2,8.6,0,0,0,364,45,7,11,0,0,73,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.949031,63,196.56,143.4888,2288.5073193528,0,13.555520867632545
127,0,-78.90911410468007,36.0068388773652,Internal,541,1088,59107,57,18.6,8.7,0,6,0,1094,14,123,22,6,0,34,0,0,0,0,0,0,119,11,0,0,0,0,350,0,0,0,0,0,0,0,0,0,0,0,0,0,16.87393,165,620.16,210.8544,3557.942385792,0,17.332996467283728
